Sitio	Tipo_F	Punto_Inicial	Fecha	Visita	Hora_I	Hora_F	Especie	Comportamiento	Sustrato	Distancia	DistanciaBosque	Sexo	Deteccion	Observador	Observaciones
F33	DAI	DAIB	7/6/2022	1	1313	1323	PIACAY			20			Visual	DM	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	RAMSUL			60	70		Song	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	MELAUR			20	60		Song	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	SALATR			37	-10		Song	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	PSAMON			28	10		Visual	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	SETCIT			23	-20		Visual	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	AMAALB			70	-50		Song	AP	
F9	DAI	Cafetal	31/1/2023	3	1123	1133	SETPET			10	45	Male	Visual	AP	
F8	DAI	Cafetal	1/2/2023	3	1005	1015	PSAMON			40	70		Visual	AP	
F8	DAI	Cafetal	1/2/2023	3	1005	1015	PSIMOR			20	65		Song	AP	
F8	DAI	Cafetal	1/2/2023	3	1005	1015	TROAED			20	35		Song	AP	
F8	DAI	Cafetal	1/2/2023	3	1005	1015	CARPUS			15	-20		Visual	AP	
F7	DAI	Cafetal	1/2/2023	3	735	745	SALATR			40	80		Song	AP	
F7	DAI	Cafetal	1/2/2023	3	735	745	DIVDIV			35	75		Song	AP	
F7	DAI	Cafetal	1/2/2023	3	735	745	DUMCAR			20	5		Song	AP	
F7	DAI	Cafetal	1/2/2023	3	735	745	SETCIT			15	-20		Song	AP	
F7	DAI	Cafetal	1/2/2023	3	735	745	CARPUS			5	-20		Song	AP	
F26	DAI	Cafetal	2/2/2023	3	1013	1023	PSAMON			45			Song	AP	
F26	DAI	Cafetal	2/2/2023	3	1013	1023	PHASTR			22	-15		Visual	AP	
F26	DAI	Cafetal	2/2/2023	3	1013	1023	CYAMEL			25	-25		Song	AP	
F26	DAI	Cafetal	2/2/2023	3	1013	1023	PSAMON			25	-20		Song	AP	
F26	DAI	Cafetal	2/2/2023	3	1013	1023	PSAMON			25	-20		Song	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	SALATR			33	50		Visual	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	AMAALB			25	60		Visual	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	PSAMON			20	35		Song	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	CARPUS			15	35		Song	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	ICTGUL			22	40		Visual	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	PARNOV			5	-5		Song	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	EUPEXI			5	-5		Visual	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	SETVIR			13	15		Visual	AP	
F25	DAI	Cafetal	2/2/2023	3	758	808	CATUST			9	-5		Visual	AP	
F50	DAI	Cafetal	2/2/2023	3	817	827	CARPUS			12	30		Song	AP	"Bosque sin sotobosque, fue recientemente cortado"
F50	DAI	Cafetal	2/2/2023	3	817	827	SALATR			35	45		Song	AP	
F50	DAI	Cafetal	2/2/2023	3	817	827	CARPUS			15	35		Visual	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	PSAMON			40	18		Song	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	RAMSUL			35	-30		Song	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	SETVIR			10	-15		Visual	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	SETCIT			10	-10		Visual	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	MYOMIN			15	-10		Visual	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	OREPER			15	-10		Visual	AP	
F14 	DAI	Cafetal	31/1/2023	3	801	811	SITGRI			20	-25		Visual	AP	
F25	DAI	Bosque	28/3/2023	3	924	934	SETCIT			10	-50		Song	AP	
F25	DAI	Bosque	28/3/2023	3	924	934	SALATR			10	-15		Song	AP	
F25	DAI	Bosque	28/3/2023	3	924	934	SALMAX			15	-10		Song	AP	
F25	DAI	Bosque	28/3/2023	3	924	934	TROAED			15	25		Visual	AP	
F25	DAI	Bosque	28/3/2023	3	924	934	ICTGUL			10	-50		Visual	AP	
F26	DAI	Bosque	28/3/2023	3	738	748	BASCUL			10	-40		Visual	AP	
F26	DAI	Bosque	28/3/2023	3	738	748	CARCAN			5	-30	Female	Visual	AP	
F26	DAI	Bosque	28/3/2023	3	738	748	SALATR			30	-20		Song	AP	
F26	DAI	Bosque	28/3/2023	3	738	748	TITSEM			15	20	Female	Visual	AP	
F12	DAI	Bosque	23/3/2023	4	1040	1050	PSAMON			25	80		Visual	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	RAMSUL			10	-40		Visual	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	SALMAX			30			Song	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	CONCOO			20	10		Visual	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	PSIMOR			15	20		Visual	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	DUMCAR			25	10		Visual	AP	
F21	DAI	Bosque	23/3/2023	4	815	825	AMAALB			30			Visual	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	DIVDIV			25			Visual	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	MYAUNI				-40		Song	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	TROAED			15	25		Visual	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	CARPUS			20	15		Visual	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	AMAALB			40	40		Visual	AP	
F3	DAI	Cafetal	13/3/2023	4	933	943	CATAUR			10	-25		Visual	AP	
F54	DAI	Bosque	22/3/2023	4	852	902	BASCUL			10	-30		Visual	AP	
F54	DAI	Bosque	22/3/2023	4	852	902	SETCIT			25	30		Song	AP	
F54	DAI	Bosque	22/3/2023	4	852	902	PSIMOR			30	40		Visual	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	MYATUB			15			Song	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	EMPHAM			25	-5		Visual	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	SETVIR			30	-10		Visual	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	PSIMOR			40	35		Visual	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	SALATR			35	60		Visual	AP	
F24	DAI	Bosque	18/3/2023	4	1030	1040	DIVDIV			45	50		Song	AP	
F50	DAI	Bosque	27/3/2023	4	1012	1022	AULPRA			10	-15		Visual	AP	
F50	DAI	Bosque	27/3/2023	4	1012	1022	SETVIR			20	-25		Visual	AP	
F50	DAI	Bosque	27/3/2023	4	1012	1022	MELAUR			25	70		Visual	AP	
F5	DAI	Bosque	27/3/2023	4	830	840	VIRFLAVO			15	-20		Song	AP	
F5	DAI	Bosque	27/3/2023	4	830	840	CROSUL			15	10		Visual	AP	
F5	DAI	Bosque	27/3/2023	4	830	840	CYCGUJ			25	-30		Song	AP	
F5	DAI	Bosque	27/3/2023	4	830	840	THADOL			20	25		Song	AP	
F7	DAI	Cafetal	14/3/2023	4	815	825	COLTAP			20	30		Song	AP	
F7	DAI	Cafetal	14/3/2023	4	815	825	DIVDIV			15	45		Song	AP	
F7	DAI	Cafetal	14/3/2023	4	815	825	LEPVER			25	10		Visual	AP	
F7	DAI	Cafetal	14/3/2023	4	815	825	LEPVER			15	-15		Visual	AP	
F7	DAI	Cafetal	14/3/2023	4	815	825	RAMSUL			60			Song	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	TIAOLI			5	50		Visual	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	SALATR			10	40		Song	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	DIVDIV			20	60		Song	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	MELAUR			20	20		Song	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	LEPVER			50	-10		Song	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	SITGRI			15	-25		Visual	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	CARPUS			10	-20		Visual	AP	
F4	DAI	Cafetal	13/3/2023	4	805	815	PSAMON			30	-40		Visual	AP	
F8	DAI	Cafetal	14/3/2023	4	911	921	CARPUS			10	35		Visual	AP	
F8	DAI	Cafetal	14/3/2023	4	911	921	MELAUR			30	60		Song	AP	
F8	DAI	Cafetal	14/3/2023	4	911	921	DIVDIV			35	80		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	PSAMON			15	60		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	PITSUL			10	45		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	SALATR			10	40		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	TURGRA			20	30		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	SETVIR			30	30		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	XIPFLA			20	-20		Visual	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	LEPVER			20	-30		Song	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	CERTYR			25	-40		Song	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	XIPFLA			25	-40		Song	AP	
F6	DAI	Cafetal	18/3/2023	4	656	706	MOMLES			30	-15		Song	AP	
F22	DAI	Cafetal	18/3/2023	4	928	938	CARPUS			10	40		Visual	AP	
F22	DAI	Cafetal	18/3/2023	4	928	938	CARPUS			15	-30		Visual	AP	
F10	DAI	Cafetal	18/3/2023	4	822	832	PSAWAG			20	30		Visual	AP	
F10	DAI	Cafetal	18/3/2023	4	822	832	DIVDIV			25	45		Visual	AP	
F10	DAI	Cafetal	18/3/2023	4	822	832	RAMSUL			30	-10		Visual	AP	
F10	DAI	Cafetal	18/3/2023	4	822	832	PSIMOR			35	40		Song	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	DUMCAR			25	-15		Song	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	TITSEM			10	-15		Visual	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	CARPUS			10	-5		Visual	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	MELAUR			40	80		Visual	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	PSAMON			35	50		Visual	AP	
F9	DAI	Bosque	24/3/2023	4	808	818	TROAED			10	35		Visual	AP	
F14	DAI	Bosque	24/3/2023	4	1021	1031	LEPVER			30	-60		Song	AP	
F14	DAI	Bosque	24/3/2023	4	1021	1031	PSAMON			30	10		Visual	AP	
F14	DAI	Bosque	24/3/2023	4	1021	1031	PSIMOR			10	30		Visual	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PHASTR			1	-40		Visual	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	MOMLES			10	-40		Song	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PHEMAC			15	-40		Song	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PSIMOR			20	30		Visual	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PSIMOR			30	60		Song	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PSIMOR			25	30		Song	AP	
F15	DAI	Bosque	30/3/2023	4	827	837	PSAMON			25	45		Visual	AP	
F13	DAI	Bosque	22/3/2023	4	1027	1037	CONVIR			10	40		Visual	AP	
F13	DAI	Bosque	22/3/2023	4	1027	1037	MOMLES			40	-60		Visual	AP	
F33	DAI	Bosque	30/3/2023	4	1010	1020	PSAMON			10	45		Visual	AP	
F33	DAI	Bosque	30/3/2023	4	1010	1020	PSAMON			5	-10		Visual	AP	
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
